source,confidence,lobe,pa,e_pa,oa,e_oa,RAJ2000,DEJ2000,M_lowvel,M_hivel,P_lowvel,P_hivel,E_lowvel,E_hivel,vmax,rmax,tdyn,Mdot_lowvel,Mdot_hivel,Pdot_lowvel,Pdot_hivel,Edot_lowvel,Edot_hivel,gamma,fil_dist
hops 96,D,B,68.93613194,0.8433763079,45.71557788,2.80862188,83.8738,-4.9802,0.05233467027,0.04155746055,0.05599580409,0.1122458297,6.01E+41,3.27E+42,4.021779275,0.1086251595,26409.41455,1.98E-06,1.57E-06,2.12E-06,4.25E-06,7.21E+29,3.92E+30,54.54031325,0.006910932957
hops 96,D,R,-94.50797926,5.046912087,142.0077366,18.73673005,83.8738,-4.9802,1.305404816,0.3474456958,1.878853552,0.7295417384,2.74E+43,1.55E+43,4.73068463,0.2344583883,48460.55196,2.69E-05,7.17E-06,3.88E-05,1.51E-05,1.79E+31,1.01E+31,71.09620204,0.006910932957
hops 99,M,B,-48.50730542,1.274409031,63.79045442,4.781181369,83.6229,-4.9252,0.03011566138,0.0364711995,0.03630555382,0.06531871307,4.40E+41,1.21E+42,2.587711325,0.1298317571,49058.20869,6.14E-07,7.43E-07,7.40E-07,1.33E-06,2.84E+29,7.80E+29,48.49943218,0.003421653011
hops 157,M,B,111.782388,1.428777298,65.69030715,4.758114154,84.4857,-6.9442,0,0.03203896524,0,0.07733857687,0,1.95E+42,3.397272516,0.1041357273,29972.0154,0,1.07E-06,0,2.58E-06,0,2.06E+30,84.09907674,1.532976297
hops 158,M,B,65.59504791,1.400510521,84.30546581,4.663980139,84.3519,-6.9758,0.09839285178,0.08193273665,0.1764519942,0.2150568684,3.21E+42,5.75E+42,4.142981356,0.1153677149,27228.13467,3.61E-06,3.01E-06,6.48E-06,7.90E-06,3.74E+30,6.69E+30,49.71358316,1.163349511
hops 158,M,R,-113.7385789,2.729274536,112.7549875,9.090615688,84.3519,-6.9758,0.009339514124,0.02657702879,0.01035344262,0.07321528715,1.14E+41,2.28E+42,3.859271357,0.0767664801,19449.69922,4.80E-07,1.37E-06,5.32E-07,3.76E-06,1.86E+29,3.71E+30,50.37995632,1.163349511
hops 160,D,B,-37.61993962,1.09407368,67.51134827,3.64348417,84.4627,-6.789,0,0.06756892912,0,0.101871691,0,1.69E+42,3.225165817,0.1136457664,34454.64597,0,1.96E-06,0,2.96E-06,0,1.55E+30,1.782064733,0.4262710571
hops 166,M,B,99.16303223,4.889410638,239.3560582,16.55931831,84.1047,-6.7449,0.4745533674,0.02661286141,1.005183915,0.09798074425,2.20E+43,3.65E+42,5.815347671,0.06616327084,11124.68854,4.27E-05,2.39E-06,9.04E-05,8.81E-06,6.28E+31,1.04E+31,59.35896447,0.03634058431
hops 166,D,R,0.2847637566,1.110061496,79.83270143,3.696726793,84.1047,-6.7449,1.83951378,0.9951512624,4.070917925,3.701632869,9.15E+43,1.46E+44,10.68929855,0.4243387589,38815.93688,4.74E-05,2.56E-05,1.05E-04,9.54E-05,7.47E+31,1.20E+32,39.51930401,0.03634058431
hops 168,D,B,-6.970274112,3.186597647,100.9034166,10.61200749,84.0789,-6.7563,0.04398871027,0.00662878833,0.0780242744,0.03147655753,1.45E+42,1.55E+42,6.147834238,0.09227500071,14676.02646,3.00E-06,4.52E-07,5.32E-06,2.14E-06,3.13E+30,3.36E+30,82.57613283,0.0009878019142
hops 168,D,R,159.5641122,0.189931609,32.8198639,0.62000881,84.0789,-6.7563,6.44307604,1.027103661,11.69578884,4.608558631,2.33E+44,2.24E+44,10.35681198,1.198638897,113164.1467,5.69E-05,9.08E-06,1.03E-04,4.07E-05,6.53E+31,6.28E+31,69.11051915,0.0009878019142
hops 169,D,B,14.94822364,0.5070920835,46.38792415,1.688837031,84.1505,-6.6477,0.1454229913,0.09762172228,0.2134860011,0.4916674635,3.26E+42,2.77E+43,8.941880439,0.2512471534,27473.80867,5.29E-06,3.55E-06,7.77E-06,1.79E-05,3.76E+30,3.20E+31,49.07992293,0.003962661941
hops 169,D,R,-178.9935295,0.8713783656,62.18062552,2.901885866,84.1505,-6.6477,1.042238583,0.1420640529,1.702669787,0.7928411525,2.99E+43,5.14E+43,12.31410333,0.2323643142,18450.71565,5.65E-05,7.70E-06,9.23E-05,4.30E-05,5.14E+31,8.83E+31,35.13816981,0.003962661941
hops 174,M,B,12.90857976,0.4035283989,34.74762362,1.348361034,84.1077,-6.4163,0.0830532894,0.0734309046,0.1779443645,0.2167878445,3.86E+42,6.50E+42,4.445097832,0.2085039667,45864.8076,1.81E-06,1.60E-06,3.88E-06,4.73E-06,2.67E+30,4.49E+30,85.48980642,0.003667534715
hops 177,D,R,-6.234324338,0.7190975281,53.8358881,2.407702924,83.9584,-6.5815,0.2903451263,0.7714829566,0.3500535939,1.516091401,4.24E+42,3.22E+43,7.289330057,0.3109328562,41708.5968,6.96E-06,1.85E-05,8.39E-06,3.63E-05,3.22E+30,2.45E+31,6.234324338,0.09453579118
hops 178,D,B,76.74343407,2.017915858,93.52203464,6.720268163,84.1025,-6.3781,0.3599473996,0.1933274303,0.799089145,0.6204820177,1.80E+43,2.03E+43,8.879716451,0.214403494,23609.09494,1.52E-05,8.19E-06,3.38E-05,2.63E-05,2.41E+31,2.72E+31,75.71296638,0.04150890755
hops 179,D,B,164.0942528,1.080694485,59.59715384,3.598928773,84.091,-6.3916,0,0.06054907141,0,0.1595679111,0,4.29E+42,4.56466995,0.08544819764,18303.75119,0,3.31E-06,0,8.72E-06,0,7.44E+30,59.97708332,0.09142443846
hops 179,M,R,16.20351062,0.7859027183,71.1098835,2.617213232,84.091,-6.3916,0.8580060792,0.03860583556,2.887911731,0.239852324,1.03E+44,1.55E+43,12.44011707,0.1217597196,9570.304374,8.97E-05,4.03E-06,0.0003017575636,2.51E-05,3.40E+32,5.12E+31,27.86782551,0.09142443846
hops 181,D,B,-40.03245168,1.975809846,130.9137219,7.775059008,84.0813,-6.3701,0.4664991368,0.5099478196,1.313784973,2.078920652,3.71E+43,8.87E+43,9.117433823,0.214835229,23039.83993,2.02E-05,2.21E-05,5.70E-05,9.02E-05,5.10E+31,1.22E+32,48.32598582,0.204248297
hops 181,D,R,176.6098948,0.3729408864,23.87509333,1.24196774,84.0813,-6.3701,10.41657907,0.2626250869,24.94572952,1.566705833,6.74E+44,9.72E+43,12.13854995,1.184776576,95436.87882,1.09E-04,2.75E-06,0.0002613845908,1.64E-05,2.24E+32,3.23E+31,11.68363931,0.204248297
hops 182,D,B,40.92481077,2.482617102,77.38165693,8.186653449,84.0785,-6.3695,0.2407260206,0.3116136072,0.6677362873,1.339606433,1.86E+43,6.09E+43,9.106769094,0.2189509526,23508.72589,1.02E-05,1.33E-05,2.84E-05,5.70E-05,2.51E+31,8.21E+31,33.48803777,0.224559271
hops 182,D,R,-156.6791143,0.09355299097,9.4951782,0.312234798,84.0785,-6.3695,1.243673866,0.1108700311,3.854085532,0.6614722098,1.24E+44,4.10E+43,11.14893309,0.5477228024,48036.80241,2.59E-05,2.31E-06,8.02E-05,1.38E-05,8.19E+31,2.71E+31,15.88411266,0.224559271
hops 192,M,B,94.78004002,2.795127479,104.210591,9.30833353,84.1352,-6.0212,0,0.7751062774,0,0.975819501,0,1.42E+43,4.067178395,0.1032309176,24817.7922,0,3.12E-05,0,3.93E-05,0,1.82E+31,52.63481783,0.04542525929
hops 192,M,R,-67.03475009,1.598972974,104.8804668,5.324899799,84.1352,-6.0212,0.05984338084,0.02500536848,0.08504691214,0.05417402787,1.23E+42,1.25E+42,3.685003921,0.06721847616,17835.99273,3.36E-06,1.40E-06,4.77E-06,3.04E-06,2.18E+30,2.21E+30,34.44960794,0.04542525929
hops 198,M,R,111.7181819,4.249194346,63.52391474,14.2844551,83.8424,-6.2184,0.1976065311,0.005329048066,0.4810618662,0.02564387221,1.31E+43,1.24E+42,6.042627252,0.108343167,17531.63013,1.13E-05,3.04E-07,2.74E-05,1.46E-06,2.37E+31,2.24E+30,0.06912719466,0.1171073988
hops 203,D,R,139.1567731,4.500543024,60.42662361,14.5888131,84.0952,-6.7684,0,0.448373993,0,0.9836737232,0,2.28E+43,5.72679096,0.2014907929,34402.53563,0,1.30E-05,0,2.86E-05,0,2.10E+31,84.91752365,0.01091964971
hops 355,M,B,-103.7053716,0.3977051938,44.57612441,1.324438014,84.3212,-6.8304,0.06648252822,0.4001002519,0.07827941312,1.398134386,9.16E+41,5.04E+43,8.929675842,0.4457260777,48806.64197,1.36E-06,8.20E-06,1.60E-06,2.86E-05,5.95E+29,3.27E+31,75.11969956,0.09922838699
hops 355,M,R,97.61475823,0.0977790752,8.231095262,0.3308993216,84.3212,-6.8304,0.1819011673,0.03258220713,0.4150905537,0.1304475552,9.59E+42,5.38E+42,7.825040776,0.494366973,61774.52548,2.94E-06,5.27E-07,6.72E-06,2.11E-06,4.92E+30,2.76E+30,83.56017065,0.09922838699
hops 368,D,B,30.07226292,12.11064006,288.7021663,43.67815789,83.853,-5.1751,0.5118857672,0.02657247681,1.247219935,0.12513784,3.23E+43,5.98E+42,6.713037379,0.05962365554,8684.525845,5.89E-05,3.06E-06,1.44E-04,1.44E-05,1.18E+32,2.18E+31,61.26469579,0.03360716074
hops 368,D,R,174.894747,4.546122541,135.0256764,15.13950815,83.853,-5.1751,0.02936460358,0.02427578874,0.06899221708,0.09140554345,1.64E+42,3.59E+42,6.29062328,0.0414688902,6445.777544,4.56E-06,3.77E-06,1.07E-05,1.42E-05,8.07E+30,1.76E+31,83.55778825,0.03360716074
hops 370,M,B,35.55250966,1.347681063,66.14587489,4.839679608,83.8651,-5.1593,0.302934757,0.04836443292,0.9937139827,0.404504882,3.67E+43,3.51E+43,13.12604737,0.1374851547,10241.61433,2.96E-05,4.72E-06,9.70E-05,3.95E-05,1.13E+32,1.09E+32,37.049221,0.0435100089
hops 370,M,R,24.3339574,0.5049282581,39.99119873,1.861608781,83.8651,-5.1593,0.5800343314,0.01715434391,1.234453546,0.1147376965,3.09E+43,7.70E+42,8.129936403,0.1264750025,15211.22277,3.81E-05,1.13E-06,8.12E-05,7.54E-06,6.44E+31,1.60E+31,48.26777325,0.0435100089
hops 383,D,B,127.790403,0.5081975445,48.70059081,1.692418075,83.8742,-4.9975,0.07564810632,0.2895333043,0.1379329605,0.7387404441,2.51E+42,1.98E+43,5.406237655,0.1574105547,28469.85756,2.66E-06,1.02E-05,4.84E-06,2.59E-05,2.79E+30,2.20E+31,88.03795198,0.01895596568
